Id,State,avgIncome,heartAttack,-0.67773818
1,Alabama,59464,3508,
2,Alaska,89094,2940,
4,Arizona,68103,2997,
5,Arkansas,57693,3865,
6,California,88595,3101,
7,Colorado,82295,2551,
8,Connecticut,100948,3735,
9,Delaware,78773,3939,
10,District of Columbia,103525,2692,
11,Florida,67510,3578,
12,Georgia,68820,3097,
13,Hawaii,86866,2693,
14,Idaho,64115,2372,
15,Illinois,79379,2937,
16,Indiana,64422,3221,
17,Iowa,69618,3063,
18,Kansas,71045,2984,
19,Kentucky,59057,4016,
20,Louisiana,63728,3314,
21,Maine,65842,3621,
22,Maryland,97016,3105,
23,Massachusetts,95404,3912,
24,Michigan,66794,3473,
25,Minnesota,81824,3109,
26,Mississippi,54887,2689,
27,Missouri,65169,3519,
28,Montana,62309,2617,
29,Nebraska,68359,2598,
30,Nevada,67029,3217,
31,New Hampshire,86622,3292,
32,New Jersey,99055,4160,
33,New Mexico,61470,2582,
34,New York,86563,3289,
35,North Carolina,65099,3320,
36,North Dakota,79136,3640,
37,Ohio,66252,3578,
38,Oklahoma,64584,3552,
39,Oregon,69210,3184,
40,Pennsylvania,73112,3509,
41,Rhode Island,77146,3317,
42,South Carolina,61903,2848,
43,South Dakota,66580,3396,
44,Tennessee,62734,3576,
45,Texas,75557,2796,
46,Utah,77413,2245,
47,Vermont,69973,2659,
48,Virginia,88457,3715,
49,Washington,81218,3086,
50,West Virginia,54877,4061,
51,Wisconsin,68953,2551,
52,Wyoming,72305,3326,
53,Puerto Rico,29976,1589,
